Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct
Azitromycine Jubilant 250 mg filmomhulde tabletten;AZITROMYCINE;250 mg;Filmomhulde tablet;AZITROMYCINE - 250 mg - Filmomhulde tablet
Lisdexamfetamine Teva 50 mg, harde capsules;LISDEXAMFETAMINE;50 mg;Capsule;LISDEXAMFETAMINE - 50 mg - Capsule
Haloperidol CF 5 mg, tabletten;HALOPERIDOL;5 mg;Tablet;HALOPERIDOL - 5 mg - Tablet
Zinnat 125 mg filmomhulde tabletten;CEFUROXIMAXETIL;125 mg;Filmomhulde tablet;CEFUROXIMAXETIL - 125 mg - Filmomhulde tablet
Oxcarbazepine ADOH 300 mg, filmomhulde tabletten;OXCARBAZEPINE;300 mg;Filmomhulde tablet;OXCARBAZEPINE - 300 mg - Filmomhulde tablet
Flucloxacilline Ibisqus 1000 mg poeder voor oplossing voor injectie/infusie;FLUCLOXACILLINE;1000 mg;Poeder voor oplossing voor injectie of infusie;FLUCLOXACILLINE - 1000 mg - Poeder voor oplossing voor injectie of infusie
Minocycline Aurobindo 50 mg, omhulde tabletten;MINOCYCLINE;50 mg;Filmomhulde tablet;MINOCYCLINE - 50 mg - Filmomhulde tablet
Sendolor 20mg/ml, oplossing voor injectie;MORFINE;20mg/ml;Oplossing voor injectie;MORFINE - 20mg/ml - Oplossing voor injectie
EMCOR DECO 7,5 mg filmomhulde tabletten;BISOPROLOL;7,5 mg;Filmomhulde tablet;BISOPROLOL - 7,5 mg - Filmomhulde tablet
Atorvastatine SUN 40 mg, filmomhulde tabletten;ATORVASTATINE;40 mg;Filmomhulde tablet;ATORVASTATINE - 40 mg - Filmomhulde tablet
Cefepime-MIP 1 g, poeder voor oplossing voor injectie of infusie;CEFEPIME;1 g;Poeder voor oplossing voor injectie of infusie;CEFEPIME - 1 g - Poeder voor oplossing voor injectie of infusie
NASOLAM 3,75 mg neusspray, oplossing in verpakking voor eenmalig gebruik;MIDAZOLAM;3,75 mg;Neusspray;MIDAZOLAM - 3,75 mg - Neusspray
Flecaïnideacetaat Aurobindo 100 mg, tabletten;FLECAÏNIDE;100 mg;Tablet;FLECAÏNIDE - 100 mg - Tablet
Natriumvalproaat Sandoz Chrono 500, tabletten met verlengde afgifte 500 mg;VALPROAAT/VALPROÏNEZUUR;500 mg;Tablet met verlengde afgifte;VALPROAAT/VALPROÏNEZUUR - 500 mg - Tablet met verlengde afgifte
Zoledroninezuur Hikma 4mg/ 5ml concentraat voor oplossing voor infusie;ZOLEDRONINEZUUR;4mg/ 5ml;Concentraat voor oplossing voor infusie;ZOLEDRONINEZUUR - 4mg/ 5ml - Concentraat voor oplossing voor infusie
Ancotil, oplossing voor infusie 10 mg/ml;FLUCYTOSINE;10 mg/ml;Oplossing voor infusie;FLUCYTOSINE - 10 mg/ml - Oplossing voor infusie
Libroxar 8 mg/2 mg tabletten voor sublinguaal gebruik;BUPRENORFINE/NALOXON;8 mg/2 mg;Tablet voor sublinguaal gebruik;BUPRENORFINE/NALOXON - 8 mg/2 mg - Tablet voor sublinguaal gebruik
Fostimon Set 75 IE, poeder en oplosmiddel voor oplossing voor injectie in een voorgevulde spuit;UROFOLLITROPINE;75 IE;Poeder en oplosmiddel voor oplossing voor injectie;UROFOLLITROPINE - 75 IE - Poeder en oplosmiddel voor oplossing voor injectie
OxyContin Retard 160 mg, tabletten met verlengde afgifte;OXYCODON;160 mg;Tablet met verlengde afgifte;OXYCODON - 160 mg - Tablet met verlengde afgifte
Omeprazol Sandoz capsule 20 mg, maagsapresistente capsules, hard;OMEPRAZOL;20 mg;Maagsapresistente capsule;OMEPRAZOL - 20 mg - Maagsapresistente capsule
Methotrexaat 30 mg=0,800 ml Focus, oplossing voor injectie 37,5 mg/ml;METHOTREXAAT;30 mg;Oplossing voor injectie;METHOTREXAAT - 30 mg - Oplossing voor injectie
Estradiol Sandoz pleister 100 µg/24 uur, pleisters voor transdermaal gebruik 8 mg/40 cm2;ESTRADIOL;100 mcg/24 uur;Pleister voor transdermaal gebruik;ESTRADIOL - 100 mcg/24 uur - Pleister voor transdermaal gebruik
Florinef Acetaat, tabletten 0,1 mg;FLUDROCORTISON;0,1 mg;Tablet;FLUDROCORTISON - 0,1 mg - Tablet
Darunavir Amarox 600 mg filmomhulde tabletten;DARUNAVIR;600 mg;Filmomhulde tablet;DARUNAVIR - 600 mg - Filmomhulde tablet
Aripiprazol Synthon 20 mg, tabletten;ARIPIPRAZOL;20 mg;Tablet;ARIPIPRAZOL - 20 mg - Tablet
Ciclesonide Sandoz Inhalator 80 microgram/dosis, aërosol, oplossing;CICLESONIDE;80 mcg/dosis;Aërosol;CICLESONIDE - 80 mcg/dosis - Aërosol
Ursodeoxycholzuur Glenmark 450 mg tabletten;URSODEOXYCHOLZUUR;450 mg;Tablet;URSODEOXYCHOLZUUR - 450 mg - Tablet
Palmeux 100 mg suspensie voor injectie met verlengde afgifte in een voorgevulde spuit;PALIPERIDONPALMITAAT;100 mg;Suspensie voor injectie;PALIPERIDONPALMITAAT - 100 mg - Suspensie voor injectie
Kidiamix G25%, oplossing voor infusie;ACETYLCYSTEÏNE/ALANINE, L-/AMMONIUMMOLYBDAAT/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/GLUCONAAT  (E 578)/(CL-)/CHROOM (Cr3+)/CHROOMTRI /(E 340)/FENYLALANINE, (L-)/FERRO/FLUORIDE (F-)/FOSFOR/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/IJZER (FE2+)/ISOLEUCINE, (L-)/JODIDE (I-)/(K+)/(E 508)/JODIDE/KOBALT (2+)/KOBALT/KOPER (Cu2+)/KOPER/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)/LACTAAT DIHYDRAAT/MANGAAN (Mn2+)/MANGAAN/METHIONINE, (L-)/MOLYBDEEN (Mo6+)/(NA+)//FLUORIDE/PROLINE, (L-)/SELENIUM (Se4+)/SELENIUMDIOXIDE/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650);25%;Oplossing voor infusie;ACETYLCYSTEÏNE/ALANINE, L-/AMMONIUMMOLYBDAAT/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/GLUCONAAT  (E 578)/(CL-)/CHROOM (Cr3+)/CHROOMTRI /(E 340)/FENYLALANINE, (L-)/FERRO/FLUORIDE (F-)/FOSFOR/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/IJZER (FE2+)/ISOLEUCINE, (L-)/JODIDE (I-)/(K+)/(E 508)/JODIDE/KOBALT (2+)/KOBALT/KOPER (Cu2+)/KOPER/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)/LACTAAT DIHYDRAAT/MANGAAN (Mn2+)/MANGAAN/METHIONINE, (L-)/MOLYBDEEN (Mo6+)/(NA+)//FLUORIDE/PROLINE, (L-)/SELENIUM (Se4+)/SELENIUMDIOXIDE/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650) - 25% - Oplossing voor infusie
Perindopril arginine Viatris 2,5 mg, filmomhulde tabletten;PERINDOPRIL;2,5 mg;Filmomhulde tablet;PERINDOPRIL - 2,5 mg - Filmomhulde tablet
Sitagliptine Mylan 50 mg, filmomhulde tabletten;SITAGLIPTINE;50 mg;Filmomhulde tablet;SITAGLIPTINE - 50 mg - Filmomhulde tablet
Fomepizole SERB 5 mg/ml, concentraat voor oplossing voor infusie;FOMEPIZOL;5 mg/ml;Concentraat voor oplossing voor infusie;FOMEPIZOL - 5 mg/ml - Concentraat voor oplossing voor infusie
Montelukast 10 mg Teva, filmomhulde tabletten;MONTELUKAST;10 mg;Filmomhulde tablet;MONTELUKAST - 10 mg - Filmomhulde tablet
Finasteride Accord 5 mg, filmomhulde tabletten;FINASTERIDE;5 mg;Filmomhulde tablet;FINASTERIDE - 5 mg - Filmomhulde tablet
Atropinesulfaat Accord 0,1 mg/ml oplossing voor injectie in een voorgevulde spuit;ATROPINE;0,1 mg/ml;Oplossing voor injectie;ATROPINE - 0,1 mg/ml - Oplossing voor injectie
Fosinoprilnatrium/Hydrochloorthiazide Aurobindo 20/12,5 mg, tabletten;FOSINOPRIL/HYDROCHLOORTHIAZIDE;20/12,5 mg;Tablet;FOSINOPRIL/HYDROCHLOORTHIAZIDE - 20/12,5 mg - Tablet
Pravastatinenatrium Teva 20 mg, tabletten;PRAVASTATINE;20 mg;Tablet;PRAVASTATINE - 20 mg - Tablet
Medikinet 10 mg, tabletten;METHYLFENIDAAT;10 mg;Tablet;METHYLFENIDAAT - 10 mg - Tablet
Carboplatin Accord 10 mg/ml, concentraat voor oplossing voor infusie;CARBOPLATINE;10 mg/ml;Concentraat voor oplossing voor infusie;CARBOPLATINE - 10 mg/ml - Concentraat voor oplossing voor infusie
Azzavix 500 mg maagsapresistente tabletten;MESALAZINE;500 mg;Maagsapresistente tablet;MESALAZINE - 500 mg - Maagsapresistente tablet
Betahistine 2HCl DOC Generici 16 mg, tabletten;BETAHISTINE;16 mg;Tablet;BETAHISTINE - 16 mg - Tablet
Triamcinolonacetonide, water-emulgerende zalf 1 mg/g;TRIAMCINOLONACETONIDE;1 mg/g;Zalf;TRIAMCINOLONACETONIDE - 1 mg/g - Zalf
Solifenacinesuccinaat Krka 10 mg, filmomhulde tabletten;SOLIFENACINE;10 mg;Filmomhulde tablet;SOLIFENACINE - 10 mg - Filmomhulde tablet
Betahistine 2HCl Accord 24 mg, tabletten;BETAHISTINE;24 mg;Tablet;BETAHISTINE - 24 mg - Tablet
Bleomedac, poeder voor oplossing voor injectie 15000 IU (Ph. Eur.);BLEOMYCINE;15000 IE;Poeder voor oplossing voor injectie;BLEOMYCINE - 15000 IE - Poeder voor oplossing voor injectie
Glibenclamide Teva 5 mg, tabletten;GLIBENCLAMIDE;5 mg;Tablet;GLIBENCLAMIDE - 5 mg - Tablet
Fingolimod Biocon 0,5 mg harde capsules;FINGOLIMOD;0,5 mg;Capsule;FINGOLIMOD - 0,5 mg - Capsule
Ryaltris 25/600 microgram/dosis neusspray, suspensie;MOMETASONFUROAAT/OLOPATADINE;25/600 mcg/dosis;Neusspray;MOMETASONFUROAAT/OLOPATADINE - 25/600 mcg/dosis - Neusspray
Exagra 100 mg filmomhulde tabletten;SILDENAFIL;100 mg;Filmomhulde tablet;SILDENAFIL - 100 mg - Filmomhulde tablet
Methylfenidaat HCl retard Aristo 20 mg, harde capsules met gereguleerde afgifte;METHYLFENIDAAT;20 mg;Capsule met gereguleerde afgifte;METHYLFENIDAAT - 20 mg - Capsule met gereguleerde afgifte
Benzathinebenzylpenicilline Sandoz 600.000 IE, poeder en oplosmiddel voor suspensie voor injectie;BENZATHINEBENZYLPENICILLINE;600,000 IE;Poeder en oplosmiddel voor suspensie voor injectie;BENZATHINEBENZYLPENICILLINE - 600,000 IE - Poeder en oplosmiddel voor suspensie voor injectie
Isosorbidedinitraat CF 5 mg, tabletten;ISOSORBIDE;5 mg;Tablet voor sublinguaal gebruik;ISOSORBIDE - 5 mg - Tablet voor sublinguaal gebruik
Temazepam Auro 10 mg, tabletten;TEMAZEPAM;10 mg;Tablet;TEMAZEPAM - 10 mg - Tablet
Voriconazol Pharmathen 50 mg filmomhulde tabletten;VORICONAZOL;50 mg;Filmomhulde tablet;VORICONAZOL - 50 mg - Filmomhulde tablet
Paracetamol Viaflo 10 mg/ml, oplossing voor infusie;PARACETAMOL;10 mg/ml;Oplossing voor infusie;PARACETAMOL - 10 mg/ml - Oplossing voor infusie
Tramadol HCl Retard 100 mg, tabletten met gereguleerde afgifte;TRAMADOL;100 mg;Tablet met verlengde afgifte;TRAMADOL - 100 mg - Tablet met verlengde afgifte
Amoxicilline Disp Teva 500 mg, dispergeerbare tabletten;AMOXICILLINE;500 mg;Dispergeerbare tablet;AMOXICILLINE - 500 mg - Dispergeerbare tablet
Zopranol 15 mg filmomhulde tabletten;ZOFENOPRIL;15 mg;Filmomhulde tablet;ZOFENOPRIL - 15 mg - Filmomhulde tablet
Ebetrex 12,5 mg = 0,625 ml, oplossing voor injectie in voorgevulde injectiespuit 20 mg/ml;METHOTREXAAT;12,5 mg;Oplossing voor injectie;METHOTREXAAT - 12,5 mg - Oplossing voor injectie
Everofin 5 mg, tabletten;EVEROLIMUS;5 mg;Tablet;EVEROLIMUS - 5 mg - Tablet
Gefitinib Stada 250 mg, filmomhulde tabletten;GEFITINIB;250 mg;Filmomhulde tablet;GEFITINIB - 250 mg - Filmomhulde tablet
Pravastatinenatrium Sandoz 40, tabletten 40 mg;PRAVASTATINE;40 mg;Tablet;PRAVASTATINE - 40 mg - Tablet
Sitagliptine Teva 100 mg, filmomhulde tabletten;SITAGLIPTINE;100 mg;Filmomhulde tablet;SITAGLIPTINE - 100 mg - Filmomhulde tablet
Ritalin LA 40 mg, harde capsules met gereguleerde afgifte;METHYLFENIDAAT;40 mg;Capsule met gereguleerde afgifte;METHYLFENIDAAT - 40 mg - Capsule met gereguleerde afgifte
Tamsulosine HCl Retard Mylan 0,4 mg, harde capsules met gereguleerde afgifte;TAMSULOSINE;0,4 mg;Capsule met gereguleerde afgifte;TAMSULOSINE - 0,4 mg - Capsule met gereguleerde afgifte
Milrinon Carinopharm 1 mg/ml oplossing voor injectie/infusie;MILRINON;1 mg/ml;Oplossing voor injectie of infusie;MILRINON - 1 mg/ml - Oplossing voor injectie of infusie
Gabapentine Accord 400 mg, harde capsules;GABAPENTINE;400 mg;Capsule;GABAPENTINE - 400 mg - Capsule
Atorvastatine Viatris 80 mg, filmomhulde tabletten;ATORVASTATINE;80 mg;Filmomhulde tablet;ATORVASTATINE - 80 mg - Filmomhulde tablet
Amlodipine/Valsartan Sandoz 10 mg/160 mg, filmomhulde tabletten;AMLODIPINE/VALSARTAN;10 mg/160 mg;Filmomhulde tablet;AMLODIPINE/VALSARTAN - 10 mg/160 mg - Filmomhulde tablet
Salbutamol Neutec 2,5 mg per 2,5 ml, verneveloplossing;SALBUTAMOL;2,5 mg;Verneveloplossing;SALBUTAMOL - 2,5 mg - Verneveloplossing
Abacavir/Lamivudine Sandoz 600 mg/300 mg, filmomhulde tabletten;ABACAVIR/LAMIVUDINE;600 mg/300 mg;Filmomhulde tablet;ABACAVIR/LAMIVUDINE - 600 mg/300 mg - Filmomhulde tablet
Amoxicilline capsules Mylan 500 mg, capsules;AMOXICILLINE;500 mg;Capsule;AMOXICILLINE - 500 mg - Capsule
Paroxetine Mylan 20 mg, filmomhulde tabletten;PAROXETINE;20 mg;Filmomhulde tablet;PAROXETINE - 20 mg - Filmomhulde tablet
Methadon HCl Tiofarma 40 mg tabletten;METHADON;40 mg;Tablet;METHADON - 40 mg - Tablet
Masparen retard 16 mg, harde capsules met verlengde afgifte;GALANTAMINE;16 mg;Capsule met verlengde afgifte;GALANTAMINE - 16 mg - Capsule met verlengde afgifte
Bisoprololfumaraat 1A Pharma 5 mg, filmomhulde tabletten;BISOPROLOL;5 mg;Filmomhulde tablet;BISOPROLOL - 5 mg - Filmomhulde tablet
Aripiprazol Synthon 10 mg, orodispergeerbare tabletten;ARIPIPRAZOL;10 mg;Orodispergeerbare tablet;ARIPIPRAZOL - 10 mg - Orodispergeerbare tablet
Ivermectine Xiromed 3 mg, tabletten;IVERMECTINE;3 mg;Tablet;IVERMECTINE - 3 mg - Tablet
Pantoprazol Aurobindo 40 mg, maagsapresistente tabletten;PANTOPRAZOL;40 mg;Maagsapresistente tablet;PANTOPRAZOL - 40 mg - Maagsapresistente tablet
Recivit 800 microgram, tabletten voor sublinguaal gebruik;FENTANYL;800 mcg;Tablet voor sublinguaal gebruik;FENTANYL - 800 mcg - Tablet voor sublinguaal gebruik
Ultiva, 1 mg poeder voor concentraat voor oplossing voor injectie/infusie;REMIFENTANIL;1 mg;Poeder voor oplossing voor injectie;REMIFENTANIL - 1 mg - Poeder voor oplossing voor injectie
Olmesartanmedoxomil/Hydrochloorthiazide Sandoz 20 mg/12,5 mg, filmomhulde tabletten;HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL;20 mg/12,5 mg;Filmomhulde tablet;HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL - 20 mg/12,5 mg - Filmomhulde tablet
Dabigatran etexilaat Biocon 75 mg harde capsules;DABIGATRAN;75 mg;Capsule;DABIGATRAN - 75 mg - Capsule
Metoclopramide HCl CF 10 mg, tabletten;METOCLOPRAMIDE;10 mg;Tablet;METOCLOPRAMIDE - 10 mg - Tablet
Zinnat 125 mg/5 ml granulaat voor orale suspensie;CEFUROXIM/CEFUROXIMAXETIL;125 mg/5 ml;Granulaat voor orale suspensie;CEFUROXIM/CEFUROXIMAXETIL - 125 mg/5 ml - Granulaat voor orale suspensie
Salofalk 2 g/30 g, klysma;MESALAZINE;2 g/30 g;Oplossing voor rectaal gebruik;MESALAZINE - 2 g/30 g - Oplossing voor rectaal gebruik
Perindopril tosilaat/Amlodipine Teva 10 mg/5 mg, tabletten;AMLODIPINE/PERINDOPRILTOSILAAT;10 mg/5 mg;Tablet;AMLODIPINE/PERINDOPRILTOSILAAT - 10 mg/5 mg - Tablet
Thalidomide Fagron 50 mg harde capsules;THALIDOMIDE;50 mg;Capsule;THALIDOMIDE - 50 mg - Capsule
Macrosalb Medi-Radiopharma 2,5 mg kit voor radiofarmaceutisch preparaat;MACROSALB;2,5 mg;Kit voor radiofarmaceutisch preparaat;MACROSALB - 2,5 mg - Kit voor radiofarmaceutisch preparaat
Omeprazol Krka 10 mg, maagsapresistente capsules;OMEPRAZOL;10 mg;Maagsapresistente capsule;OMEPRAZOL - 10 mg - Maagsapresistente capsule
Olanzapine Neuraxpharm 10 mg, filmomhulde tabletten;OLANZAPINE;10 mg;Filmomhulde tablet;OLANZAPINE - 10 mg - Filmomhulde tablet
Fluconazol Aurobindo 200 mg capsules, hard;FLUCONAZOL;200 mg;Capsule;FLUCONAZOL - 200 mg - Capsule
Flucloxacilline Ibisqus 250 mg poeder voor oplossing voor injectie/infusie;FLUCLOXACILLINE;250 mg;Poeder voor oplossing voor injectie of infusie;FLUCLOXACILLINE - 250 mg - Poeder voor oplossing voor injectie of infusie
Fentanyl hameln 50 microgram/ml, oplossing voor injectie;FENTANYL;50 mcg/ml;Oplossing voor injectie;FENTANYL - 50 mcg/ml - Oplossing voor injectie
Rivastigmine 1A Pharma 4,6 mg/24 uur, pleisters voor transdermaal gebruik;RIVASTIGMINE;4,6 mg/24 uur;Pleister voor transdermaal gebruik;RIVASTIGMINE - 4,6 mg/24 uur - Pleister voor transdermaal gebruik
Kaliumlosartan/Hydrochloorthiazide Sandoz 100/25 mg, filmomhulde tabletten;HYDROCHLOORTHIAZIDE/LOSARTAN;100/25 mg;Filmomhulde tablet;HYDROCHLOORTHIAZIDE/LOSARTAN - 100/25 mg - Filmomhulde tablet
Seroxat 10 mg tablet, filmomhulde tabletten;PAROXETINE;10 mg;Filmomhulde tablet;PAROXETINE - 10 mg - Filmomhulde tablet
Pemetrexed Koanaa 100 mg poeder voor concentraat voor oplossing voor intraveneuze infusie;PEMETREXED;100 mg;Poeder voor concentraat voor oplossing voor infusie;PEMETREXED - 100 mg - Poeder voor concentraat voor oplossing voor infusie
Nortriptyline Mylan 50 mg, filmomhulde tabletten;NORTRIPTYLINE;50 mg;Filmomhulde tablet;NORTRIPTYLINE - 50 mg - Filmomhulde tablet
Temozolomide ratiopharm 140 mg, capsules, hard;TEMOZOLOMIDE;140 mg;Capsule;TEMOZOLOMIDE - 140 mg - Capsule
Noradrenaline Kabi 1 mg/ml concentraat voor oplossing voor infusie;NORADRENALINE;1 mg/ml;Concentraat voor oplossing voor infusie;NORADRENALINE - 1 mg/ml - Concentraat voor oplossing voor infusie
Gemcitabine Hikma 1 g, poeder voor oplossing voor infusie;GEMCITABINE;1 g;Poeder voor oplossing voor infusie;GEMCITABINE - 1 g - Poeder voor oplossing voor infusie
Salofalk zetpil 250, zetpillen 250 mg;MESALAZINE;250 mg;Zetpil;MESALAZINE - 250 mg - Zetpil
Chloortalidon Glenmark 50 mg tabletten;CHLOORTALIDON;50 mg;Tablet;CHLOORTALIDON - 50 mg - Tablet
Tolterodinetartraat Aurobindo SR 2 mg, harde capsules met verlengde afgifte;TOLTERODINE;2 mg;Capsule met verlengde afgifte;TOLTERODINE - 2 mg - Capsule met verlengde afgifte
Alfacalcidol Aurobindo 0,5 microgram zachte capsules;ALFACALCIDOL;0,5 mcg;Capsule;ALFACALCIDOL - 0,5 mcg - Capsule
Dutilox 30 mg harde maagsapresistente capsules;DULOXETINE;30 mg;Maagsapresistente capsule;DULOXETINE - 30 mg - Maagsapresistente capsule
Losartankalium/HCT 100/25 PCH, filmomhulde tabletten 100/25 mg;HYDROCHLOORTHIAZIDE/LOSARTAN;100/25 mg;Filmomhulde tablet;HYDROCHLOORTHIAZIDE/LOSARTAN - 100/25 mg - Filmomhulde tablet
Allopurinol Aristo 300 mg tabletten;ALLOPURINOL;300 mg;Tablet;ALLOPURINOL - 300 mg - Tablet
Octreotide Lyomark 0,5 mg/ml, oplossing voor injectie;OCTREOTIDE;0,5 mg/ml;Oplossing voor injectie;OCTREOTIDE - 0,5 mg/ml - Oplossing voor injectie
Diflucan 100 mg, capsule, hard;FLUCONAZOL;100 mg;Capsule;FLUCONAZOL - 100 mg - Capsule
Oxazepam Auro 50 mg, tabletten;OXAZEPAM;50 mg;Tablet;OXAZEPAM - 50 mg - Tablet
Aciclovir Noridem 250 mg poeder voor oplossing voor infusie;ACICLOVIR;250 mg;Poeder voor oplossing voor infusie;ACICLOVIR - 250 mg - Poeder voor oplossing voor infusie
Soprobec 100 microgram/dosis aërosol, oplossing;BECLOMETASON;100 mcg/dosis;Aërosol;BECLOMETASON - 100 mcg/dosis - Aërosol
Methadon HCl Aurobindo 50 mg, tabletten;METHADON;50 mg;Tablet;METHADON - 50 mg - Tablet
Sitagliptine CF 25 mg, filmomhulde tabletten;SITAGLIPTINE;25 mg;Filmomhulde tablet;SITAGLIPTINE - 25 mg - Filmomhulde tablet
Aricogan 5 mg tabletten;ARIPIPRAZOL;5 mg;Tablet;ARIPIPRAZOL - 5 mg - Tablet
Peptonorm 1 g, tabletten;SUCRALFAAT;1 g;Tablet;SUCRALFAAT - 1 g - Tablet
Tenarox 20 mg filmomhulde tabletten;RIVAROXABAN;20 mg;Filmomhulde tablet;RIVAROXABAN - 20 mg - Filmomhulde tablet
Ciclesonide ACE 80 microgram/dosis, aërosol, oplossing;CICLESONIDE;80 mcg/dosis;Aërosol;CICLESONIDE - 80 mcg/dosis - Aërosol
Fluconazol Teva 150 mg, capsules;FLUCONAZOL;150 mg;Capsule;FLUCONAZOL - 150 mg - Capsule
Lamotrigine CF 5 mg, dispergeerbare tabletten;LAMOTRIGINE;5 mg;Dispergeerbare tablet;LAMOTRIGINE - 5 mg - Dispergeerbare tablet
Sotalol HCl Sandoz 80 mg, tabletten;SOTALOL;80 mg;Tablet;SOTALOL - 80 mg - Tablet
Fucithalmic 10 mg/g ooggel;FUSIDINEZUUR;10 mg/g;Ooggel;FUSIDINEZUUR - 10 mg/g - Ooggel
Gentamicine Noridem 40 mg/ml oplossing voor injectie/infusie;GENTAMICINE;40 mg/ml;Oplossing voor injectie;GENTAMICINE - 40 mg/ml - Oplossing voor injectie
Bortezomib Synthon 1 mg, poeder voor oplossing voor injectie;BORTEZOMIB ANHYDRIDE;1 mg;Poeder voor oplossing voor injectie;BORTEZOMIB ANHYDRIDE - 1 mg - Poeder voor oplossing voor injectie
Bufoler Easyhaler 160/4,5 microgram/dosis, inhalatiepoeder;BUDESONIDE/FORMOTEROL;160/4,5 mcg/dosis;Inhalatiepoeder;BUDESONIDE/FORMOTEROL - 160/4,5 mcg/dosis - Inhalatiepoeder
Ikametin 150 mg, filmomhulde tabletten;IBANDRONAAT;150 mg;Filmomhulde tablet;IBANDRONAAT - 150 mg - Filmomhulde tablet
Ellepalmiron 5 mg drank in verpakking voor éénmalig gebruik;LEVOMETHADON;5 mg;Drank;LEVOMETHADON - 5 mg - Drank
Midazolam Fagron 2,5 mg, neusspray, oplossing in verpakking voor eenmalig gebruik;MIDAZOLAM;2,5 mg;Neusspray;MIDAZOLAM - 2,5 mg - Neusspray
SuniTAD 50 mg harde capsules;SUNITINIB;50 mg;Capsule;SUNITINIB - 50 mg - Capsule
Atomoxetine Accord 10 mg harde capsules;ATOMOXETINE;10 mg;Capsule;ATOMOXETINE - 10 mg - Capsule
Dexmedetomidine Hikma 100 microgram/ml concentraat voor oplossing voor infusie;DEXMEDETOMIDINE;100 mcg/ml;Concentraat voor oplossing voor infusie;DEXMEDETOMIDINE - 100 mcg/ml - Concentraat voor oplossing voor infusie
Bortezomib Sandoz 3,5 mg poeder voor oplossing voor injectie;BORTEZOMIB ANHYDRIDE;3,5 mg;Poeder voor oplossing voor injectie;BORTEZOMIB ANHYDRIDE - 3,5 mg - Poeder voor oplossing voor injectie
Onelar 30mg harde maagsapresistente capsule;DULOXETINE;30mg;Maagsapresistente capsule;DULOXETINE - 30mg - Maagsapresistente capsule
Enalaprilmaleaat Sandoz tablet 20 mg, tabletten;ENALAPRIL;20 mg;Tablet;ENALAPRIL - 20 mg - Tablet
Risedronaatnatrium 75 mg Accord, filmomhulde tabletten;RISEDRONAAT/RISEDRONINEZUUR;75 mg;Filmomhulde tablet;RISEDRONAAT/RISEDRONINEZUUR - 75 mg - Filmomhulde tablet
Duloxetine Teva 30 mg, harde maagsapresistente capsules;DULOXETINE;30 mg;Maagsapresistente capsule;DULOXETINE - 30 mg - Maagsapresistente capsule
Pollinex boompollen Instel- en Onderhoudskuur, suspensie voor injectie in een voorgevulde spuit 300, 800 en 2000 SU/0,5 ml;BOOMPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD;800 eenheden;Suspensie voor injectie;BOOMPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD - 800 eenheden - Suspensie voor injectie
Olmesartanmedoxomil/Hydrochloorthiazide Aurobindo 20/25 mg, filmomhulde tabletten;HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL;20/25 mg;Filmomhulde tablet;HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL - 20/25 mg - Filmomhulde tablet
Mupirocine Nevik 20 mg/g, zalf;MUPIROCINE;20 mg/g;Zalf;MUPIROCINE - 20 mg/g - Zalf
Desloratadine 2,5 mg Focus, orodispergeerbare tabletten;DESLORATADINE;2,5 mg;Orodispergeerbare tablet;DESLORATADINE - 2,5 mg - Orodispergeerbare tablet
XEOMIN 200 eenheden, poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen;200 eenheden;Poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen - 200 eenheden - Poeder voor oplossing voor injectie
Frekidir 50 mg filmomhulde tabletten;SITAGLIPTINE;50 mg;Filmomhulde tablet;SITAGLIPTINE - 50 mg - Filmomhulde tablet
Etoricoxib Aurobindo 90 mg, filmomhulde tabletten;ETORICOXIB;90 mg;Filmomhulde tablet;ETORICOXIB - 90 mg - Filmomhulde tablet
Ebetrex 15 mg = 0,75 ml, oplossing voor injectie in voorgevulde injectiespuit 20 mg/ml;METHOTREXAAT;15 mg;Oplossing voor injectie;METHOTREXAAT - 15 mg - Oplossing voor injectie
