PRESCRIBING_PRODUCT;PRODUCTNAAM;STERKTE;WERKZAMESTOFFEN_CLEAN;FARMACEUTISCHEVORM;AFLEVERSTATUS
SACUBITRIL/SACUBITRIL VALSARTAN TRIHEMIPENTAHYDRAAT/VALSARTAN - 97 mg/103 mg - Filmomhulde tablet;Entresto 97 mg/103 mg filmomhulde tabletten;97 mg/103 mg;SACUBITRIL/SACUBITRIL VALSARTAN TRIHEMIPENTAHYDRAAT/VALSARTAN;Filmomhulde tablet;Uitsluitend recept
MYCOFENOLAATMOFETIL - 500 mg - Filmomhulde tablet;Myfenax 500 mg filmomhulde tabletten;500 mg;MYCOFENOLAATMOFETIL;Filmomhulde tablet;Uitsluitend recept
PARACETAMOL - 1000 mg - Filmomhulde tablet;Paracetamol Neogen 1000 mg filmomhulde tabletten;1000 mg;PARACETAMOL;Filmomhulde tablet;Uitsluitend apotheek
CANDESARTAN/HYDROCHLOORTHIAZIDE - 16 mg/12,5 mg - Tablet;Candesartan cilexetil/Hydrochloorthiazide Torrent 16 mg/12,5 mg tabletten;16 mg/12,5 mg;CANDESARTAN/HYDROCHLOORTHIAZIDE;Tablet;Uitsluitend recept
FENTANYL - 200 microgram/dosis - Neusspray;Instanyl 200 microgram/dosis, neusspray oplossing;200 microgram/dosis;FENTANYL;Neusspray, oplossing;Uitsluitend recept
CLOPIDOGREL - 300 mg - Filmomhulde tablet;Plavix 300 mg filmomhulde tabletten;300 mg;CLOPIDOGREL;Filmomhulde tablet;Uitsluitend recept
RISEDRONAAT /RISEDRONINEZUUR - 35 mg - Maagsapresistente tablet;Actonel Wekelijks MSR 35 mg, maagsapresistente tabletten;35 mg;RISEDRONAAT /RISEDRONINEZUUR;Maagsapresistente tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/IRBESARTAN - 300 mg/12,5 mg - Tablet;Irbesartan Hydrochlorothiazide Zentiva 300 mg/12,5 mg tabletten;300 mg/12,5 mg;HYDROCHLOORTHIAZIDE/IRBESARTAN;Tablet;Uitsluitend recept
HEPATITIS B OPPERVLAKTE ANTIGEEN, RECOMBINANT (HBsAg) - 10 microgram/ml - Suspensie voor injectie;HBVAXPRO 10 microgram/ml, suspensie voor injectie in voorgevulde spuit;10 microgram/ml;HEPATITIS B OPPERVLAKTE ANTIGEEN, RECOMBINANT (HBsAg);Suspensie voor injectie;Uitsluitend recept
APREPITANT - 80 mg - Capsule;Emend 80 mg capsules, capsules;80 mg;APREPITANT;Capsule, hard;Uitsluitend recept
QUETIAPINE/QUETIAPINE/QUETIAPINE - 25 mg - Filmomhulde tablet;Quetiapine Fair-Med 4-Daagse Startverpakking, filmomhulde tabletten 6x25 mg, 3x100 mg en 1x200 mg;25 mg;QUETIAPINE/QUETIAPINE/QUETIAPINE;Filmomhulde tablet;Uitsluitend recept
DESLORATADINE - 2,5 mg - Orodispergeerbare tablet;Azomyr 2,5 mg, orodispergeerbare tablet;2,5 mg;DESLORATADINE;Orodispergeerbare tablet;Uitsluitend recept
INSULINE GLARGINE - 300 eenheden/ml - Oplossing voor injectie;Toujeo 300 eenheden/ml oplossing voor injectie in een voorgevulde pen;300 eenheden/ml;INSULINE GLARGINE;Oplossing voor injectie;Uitsluitend recept
IVABRADINE - 7,5 mg - Filmomhulde tablet;Ivabradine Accord 7,5 mg filmomhulde tabletten;7,5 mg;IVABRADINE;Filmomhulde tablet;Uitsluitend recept
CALCAREA FLUORICA/CALCAREA FLUORICA/CALCAREA FLUORICA/CALCAREA FLUORICA -  - ;Calcarea fluorica;;CALCAREA FLUORICA/CALCAREA FLUORICA/CALCAREA FLUORICA/CALCAREA FLUORICA;;Uitsluitend apotheek of drogist
PRAMIPEXOL - 2,10 mg - Tablet met verlengde afgifte;Mirapexin 2,10 mg, tabletten met verlengde afgifte;2,10 mg;PRAMIPEXOL;Tablet met verlengde afgifte;Uitsluitend recept
COBICISTAT/ELVITEGRAVIR/EMTRICITABINE/TENOFOVIRALAFENAMIDE - 90 mg/90 mg/120 mg/6 mg - Filmomhulde tablet;Genvoya 90 mg/90 mg/120 mg/6 mg, filmomhulde tabletten;90 mg/90 mg/120 mg/6 mg;COBICISTAT/ELVITEGRAVIR/EMTRICITABINE/TENOFOVIRALAFENAMIDE;Filmomhulde tablet;Uitsluitend recept
SILDENAFIL - 50 mg - Tablet;Tornetis 50 mg, tabletten;50 mg;SILDENAFIL;Tablet;Uitsluitend recept
RUMEX CRISPUS/RUMEX CRISPUS/RUMEX CRISPUS/RUMEX CRISPUS -  - ;Rumex crispus;;RUMEX CRISPUS/RUMEX CRISPUS/RUMEX CRISPUS/RUMEX CRISPUS;;Uitsluitend apotheek of drogist
INSULINE LISPRO/INSULINE LISPRO PROTAMINE COMPLEX -  - Suspensie voor injectie;Liprolog Mix50 100 E/ml KwikPen, suspensie voor injectie in een voorgevulde pen;;INSULINE LISPRO/INSULINE LISPRO PROTAMINE COMPLEX;Suspensie voor injectie;Uitsluitend recept
TEMOZOLOMIDE - 140 mg - Capsule;Temomedac 140 mg harde capsules;140 mg;TEMOZOLOMIDE;Capsule, hard;Uitsluitend recept
VARENICLINE - 0,5 mg - Filmomhulde tablet;Champix 0,5 mg, filmomhulde tabletten;0,5 mg;VARENICLINE;Filmomhulde tablet;Uitsluitend recept
TRALOKINUMAB - 150 mg/ml - Oplossing voor injectie;Adtralza 150 mg/ml, oplossing voor injectie in voorgevulde spuit;150 mg/ml;TRALOKINUMAB;Oplossing voor injectie;Uitsluitend recept
RIVAROXABAN - 10 mg - Filmomhulde tablet;Rivaroxaban Denk 10 mg, filmomhulde tabletten;10 mg;RIVAROXABAN;Filmomhulde tablet;Uitsluitend recept
ETANERCEPT - 50 mg/1.0 ml - Oplossing voor injectie;Nepexto 50 mg/1.0 ml, oplossing voor injectie in voorgevulde pen;50 mg/1.0 ml;ETANERCEPT;Oplossing voor injectie;Uitsluitend recept
IVABRADINE - 2,5 mg - Filmomhulde tablet;Ivabradine DOC Generici 2,5 mg, filmomhulde tabletten;2,5 mg;IVABRADINE;Filmomhulde tablet;Uitsluitend recept
LONOCTOCOG ALFA - 1000 IE - Poeder en oplosmiddel voor oplossing voor injectie;Afstyla 1000 IE poeder en oplosmiddel voor oplossing voor injectie;1000 IE;LONOCTOCOG ALFA;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
ETANERCEPT - 50 mg - Oplossing voor injectie;Enbrel 50 mg oplossing voor injectie in een voorgevulde pen;50 mg;ETANERCEPT;Oplossing voor injectie;Uitsluitend recept
CITRULLUS COLOCYNTHIS -  - Druppels voor oraal gebruik;Colocynthis;;CITRULLUS COLOCYNTHIS;Druppels voor oraal gebruik, oplossing;Uitsluitend apotheek of drogist
REPAGLINIDE - 1 mg - Tablet;Enyglid 1 mg, tablets;1 mg;REPAGLINIDE;Tablet;Uitsluitend recept
ABIRATERON/NIRAPARIBTOSILAAT - 100 mg/500 mg - Filmomhulde tablet;Akeega 100 mg/500 mg filmomhulde tabletten;100 mg/500 mg;ABIRATERON/NIRAPARIBTOSILAAT;Filmomhulde tablet;Uitsluitend recept
OLANZAPINE - 5 mg - Orodispergeerbare tablet;Olanzapine Glenmark Europe 5 mg orale smelttabletten, orodispergeerbare tabletten;5 mg;OLANZAPINE;Orodispergeerbare tablet;Uitsluitend recept
SEMAGLUTIDE - 2,4 mg - Oplossing voor injectie;Wegovy 2,4 mg FlexTouch oplossing voor injectie in een voorgevulde pen;2,4 mg;SEMAGLUTIDE;Oplossing voor injectie;Uitsluitend recept
NIVOLUMAB/RELATLIMAB - 80 mg/240 mg - Concentraat voor oplossing voor infusie;Opdualag 80 mg/240 mg, concentraat voor oplossing voor infusie;80 mg/240 mg;NIVOLUMAB/RELATLIMAB;Concentraat voor oplossing voor infusie;Uitsluitend recept
TOREMIFEEN - 60 mg - Tablet;Fareston, tabletten 60 mg;60 mg;TOREMIFEEN;Tablet;Uitsluitend recept
CLOPIDOGREL - 75 mg - Filmomhulde tablet;Clopidogrel BGR 75 mg filmomhulde tabletten;75 mg;CLOPIDOGREL;Filmomhulde tablet;Uitsluitend recept
SILODOSINE - 4 mg - Capsule;Silodosine Sandoz 4 mg, harde capsules;4 mg;SILODOSINE;Capsule, hard;Uitsluitend recept
ENZALUTAMIDE - 80 mg - Filmomhulde tablet;Enzalutamide Pharmascience 80 mg, filmomhulde tabletten;80 mg;ENZALUTAMIDE;Filmomhulde tablet;Uitsluitend recept
PALIPERIDONPALMITAAT - 25 mg - Suspensie voor injectie;XEPLION 25 mg suspensie voor injectie met verlengde afgifte;25 mg;PALIPERIDONPALMITAAT;Suspensie voor injectie;Uitsluitend recept
SOMATROPINE - 10 mg/2 ml - Oplossing voor injectie;Nutropin Aq 10 mg/2 ml, oplossing voor injectie;10 mg/2 ml;SOMATROPINE;Oplossing voor injectie;Uitsluitend recept
DELAMANID - 25 mg - Dispergeerbare tablet;Deltyba 25 mg, dispergeerbare tabletten;25 mg;DELAMANID;Dispergeerbare tablet;Uitsluitend recept
BADIAGA -  - ;Badiaga;;BADIAGA;;Uitsluitend apotheek of drogist
POMALIDOMIDE - 2 mg - Capsule;Polidma 2 mg, harde capsules;2 mg;POMALIDOMIDE;Capsule, hard;Uitsluitend recept
EPOËTINE ALFA - 9000 IE/0,9 ml - Oplossing voor injectie;Abseamed 9000 IE/0,9 ml oplossing voor injectie in een voorgevulde spuit;9000 IE/0,9 ml;EPOËTINE ALFA;Oplossing voor injectie;Uitsluitend recept
ATENOLOL - 50 mg - Tablet;Atenolol Sandoz 50, tabletten 50 mg;50 mg;ATENOLOL;Tablet;Uitsluitend recept
TESTOSTERON - 1000 mg/4 ml - Oplossing voor injectie;Testosteron undecanoaat SIT 1000 mg/4 ml, oplossing voor injectie;1000 mg/4 ml;TESTOSTERON;Oplossing voor injectie;Uitsluitend recept
SPONGIA TOSTA -  - ;Spongia tosta;;SPONGIA TOSTA;;Uitsluitend apotheek of drogist
FINGOLIMOD - 0,25 mg - Capsule;Inzolfi 0,25 mg, harde capsules;0,25 mg;FINGOLIMOD;Capsule, hard;Uitsluitend recept
BUDESONIDE/FORMOTEROL /GLYCOPYRRONIUM - 5 microgram/7,2 microgram/160 microgram - Aërosol;Riltrava Aerosphere 5 microgram/7,2 microgram/160 microgram, aerosol, suspensie, suspensie;5 microgram/7,2 microgram/160 microgram;BUDESONIDE/FORMOTEROL /GLYCOPYRRONIUM;Aërosol, suspensie;Uitsluitend recept
AFATINIB - 30 mg - Filmomhulde tablet;Giotrif 30 mg, filmomhulde tabletten;30 mg;AFATINIB;Filmomhulde tablet;Uitsluitend recept
POTENTILLA TORMENTILLA/POTENTILLA TORMENTILLA/POTENTILLA TORMENTILLA/POTENTILLA TORMENTILLA -  - ;Potentilla tormentilla;;POTENTILLA TORMENTILLA/POTENTILLA TORMENTILLA/POTENTILLA TORMENTILLA/POTENTILLA TORMENTILLA;;Uitsluitend apotheek of drogist
LACOSAMIDE - 150 mg - Filmomhulde tablet;Lacosamide Accord 150 mg, filmomhulde tabletten;150 mg;LACOSAMIDE;Filmomhulde tablet;Uitsluitend recept
PASIREOTIDEPAMOAAT - 60 mg - Poeder en oplosmiddel voor suspensie voor injectie;Signifor 60 mg poeder en oplosmiddel voor suspensie voor injectie;60 mg;PASIREOTIDEPAMOAAT;Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
AMLODIPINE/VALSARTAN - 5 mg/160 mg - Filmomhulde tablet;Copalia  5 mg/160 mg, filmomhulde tabletten;5 mg/160 mg;AMLODIPINE/VALSARTAN;Filmomhulde tablet;Uitsluitend recept
CEFUROXIMAXETIL - 500 mg - Omhulde tablet;Cefuroximaxetil 500, omhulde tabletten 500 mg;500 mg;CEFUROXIMAXETIL;Omhulde tablet;Uitsluitend recept
IBUPROFEN - 5 mg/ml - Oplossing voor injectie;Pedea 5 mg/ml, oplossing voor injectie;5 mg/ml;IBUPROFEN;Oplossing voor injectie;Uitsluitend recept
APIS MELLIFICA/BELLADONNA/CANTHARIS VESICATORIA/HYPOPHYSIS SUIS/IGNATIA AMARA/ CARBONICUM/PHOSPHORUS/PULSATILLA PRATENSIS -  - Druppels voor oraal gebruik;Emvita 20;;APIS MELLIFICA/BELLADONNA/CANTHARIS VESICATORIA/HYPOPHYSIS SUIS/IGNATIA AMARA/ CARBONICUM/PHOSPHORUS/PULSATILLA PRATENSIS;Druppels voor oraal gebruik, oplossing;Uitsluitend apotheek of drogist
ECHINACEA  ANGUSTIFOLIA -  - Druppels voor oraal gebruik;Echinacea D8 druppels KF;;ECHINACEA  ANGUSTIFOLIA;Druppels voor oraal gebruik, oplossing;Uitsluitend apotheek of drogist
CEFUROXIMAXETIL - 250 mg - Omhulde tablet;Cefuroximaxetil 250, omhulde tabletten 250 mg;250 mg;CEFUROXIMAXETIL;Omhulde tablet;Uitsluitend recept
BRETOVAMERAN/BRETOVAMERAN - 3 microgram/dosis - Dispersie voor injectie;Comirnaty JN.1 3 microgram/dosis, concentraat voor dispersie voor injectie;3 microgram/dosis;BRETOVAMERAN/BRETOVAMERAN;Dispersie voor injectie;Uitsluitend recept
SUNITINIB - 12,5 mg - Capsule;Sunitinib betapharm 12,5 mg harde capsules;12,5 mg;SUNITINIB;Capsule, hard;Uitsluitend recept
AMLODIPINE/VALSARTAN - 5 mg/80 mg - Filmomhulde tablet;Dafiro 5 mg/80 mg filmomhulde tabletten;5 mg/80 mg;AMLODIPINE/VALSARTAN;Filmomhulde tablet;Uitsluitend recept
ATORVASTATINE  /EZETIMIB - 10 mg/20 mg - Tablet;Himavat 10 mg/20 mg, tabletten;10 mg/20 mg;ATORVASTATINE  /EZETIMIB;Tablet;Uitsluitend recept
AMLODIPINE/HYDROCHLOORTHIAZIDE/VALSARTAN - 5 mg/160 mg/25 mg - Filmomhulde tablet;Exforge HCT 5 mg/160 mg/25 mg filmomhulde tabletten;5 mg/160 mg/25 mg;AMLODIPINE/HYDROCHLOORTHIAZIDE/VALSARTAN;Filmomhulde tablet;Uitsluitend recept
IBANDRONAAT - 6 mg - Concentraat voor oplossing voor infusie;Iasibon 6 mg concentraat voor oplossing voor infusie;6 mg;IBANDRONAAT;Concentraat voor oplossing voor infusie;Uitsluitend recept
TACROLIMUS - 5 mg - Capsule met verlengde afgifte;Conferoport 5 mg, harde capsules met verlengde afgifte;5 mg;TACROLIMUS;Capsule met verlengde afgifte, hard;Uitsluitend recept
ATORVASTATINE  /EZETIMIB - 10 mg/40 mg - Capsule;Ezetimibe/Atorvastatine DOC 10 mg/40 mg harde capsules;10 mg/40 mg;ATORVASTATINE  /EZETIMIB;Capsule, hard;Uitsluitend recept
RAXTOZINAMERAN - 3 microgram - Dispersie voor injectie;Comirnaty Omicron XBB.1.5 (3 microgram)/ concentraat voor dispersie voor injectie;3 microgram;RAXTOZINAMERAN;Dispersie voor injectie;Uitsluitend recept
SPARSENTAN - 200 mg - Filmomhulde tablet;Filspari 200 mg filmomhulde tabletten;200 mg;SPARSENTAN;Filmomhulde tablet;Uitsluitend recept
PALIPERIDON - 3 mg - Tablet met verlengde afgifte;Invega 3 mg, tablet met verlengde afgifte;3 mg;PALIPERIDON;Tablet met verlengde afgifte;Uitsluitend recept
TRAVOPROST - 40 microgram/ml - Oogdruppels;TRAVAPRESS 40 microgram/ml oogdruppels, oplossing;40 microgram/ml;TRAVOPROST;Oogdruppels, oplossing;Uitsluitend recept
EFTRENONACOG ALFA -  - Poeder en oplosmiddel voor oplossing voor injectie;Alprolix 1000 IU, poeder en oplosmiddel voor oplossing voor injectie;;EFTRENONACOG ALFA;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
MELATONINE - 2 mg - Tablet met gereguleerde afgifte;Circadin 2 mg tabletten met verlengde afgifte, tabletten met verlenge afgifte;2 mg;MELATONINE;Tablet met gereguleerde afgifte;Uitsluitend recept
TUROCTOCOG ALFA PEGOL - 3000 IE - Poeder en oplosmiddel voor oplossing voor injectie;Esperoct 3000 IE, poeder en oplosmiddel voor oplossing voor injectie;3000 IE;TUROCTOCOG ALFA PEGOL;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
ARIPIPRAZOL - 30 mg - Tablet;Aripiprazol Sandoz 30 mg, tabletten;30 mg;ARIPIPRAZOL;Tablet;Uitsluitend recept
DUPILUMAB - 200 mg - Oplossing voor injectie;Dupixent 200 mg oplossing voor injectie;200 mg;DUPILUMAB;Oplossing voor injectie;Uitsluitend recept
CHOLESTERINUM -  - Druppels voor oraal gebruik;Cholesterinum;;CHOLESTERINUM;Druppels voor oraal gebruik, oplossing;Uitsluitend apotheek of drogist
ISAVUCONAZOL/ISAVUCONAZONIUM - 200 mg - Poeder voor concentraat voor oplossing voor infusie;CRESEMBA 200 mg poeder voor concentraat voor oplossing voor infusie;200 mg;ISAVUCONAZOL/ISAVUCONAZONIUM;Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
ZONISAMIDE - 100 mg - Capsule;Zonisamide Mylan 100 mg, harde capsules;100 mg;ZONISAMIDE;Capsule, hard;Uitsluitend recept
TOLVAPTAN - 60 mg - Tablet;Jinarc 60 mg, tablet;60 mg;TOLVAPTAN;Tablet;Uitsluitend recept
TERIFLUNOMIDE - 14 mg - Filmomhulde tablet;Teriflunomide Mylan 14 mg, filmomhulde tabletten;14 mg;TERIFLUNOMIDE;Filmomhulde tablet;Uitsluitend recept
FINGOLIMOD - 0,5 mg - Capsule;Fingolimod Denk 0,5 mg, harde capsules;0,5 mg;FINGOLIMOD;Capsule, hard;Uitsluitend recept
PEMETREXED - 100 mg - Poeder voor concentraat voor oplossing voor infusie;Pemetrexed medac 100 mg poeder voor concentraat voor oplossing voor infusie;100 mg;PEMETREXED;Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
SAFINAMIDE - 50 mg - Tablet;Xadago 50 mg, tabletten;50 mg;SAFINAMIDE;Tablet;Uitsluitend recept
HYDROCORTISON - 10 mg - Capsule;Efmody 10 mg, harde capsules;10 mg;HYDROCORTISON;Capsule, hard;Uitsluitend recept
DROSPIRENON/ETHINYLESTRADIOL - 0,02 mg/3 mg - Filmomhulde tablet;Modolew 0,02 mg/3 mg filmomhulde tabletten;0,02 mg/3 mg;DROSPIRENON/ETHINYLESTRADIOL;Filmomhulde tablet;Uitsluitend recept
HELLEBORUS NIGER -  - Druppels voor oraal gebruik;Helleborus niger;;HELLEBORUS NIGER;Druppels voor oraal gebruik, oplossing;Uitsluitend apotheek of drogist
ABACAVIR/LAMIVUDINE - 600/300 mg - Filmomhulde tablet;Kivexa 600/300 mg, filmomhulde tabletten;600/300 mg;ABACAVIR/LAMIVUDINE;Filmomhulde tablet;Uitsluitend recept
SILDENAFIL - 25 mg - Kauwtablet;Sildenafil DOC Generici 25 mg, kauwtabletten;25 mg;SILDENAFIL;Kauwtablet;Uitsluitend recept
PREGABALINE - 225 mg - Capsule;Pregabalin Accord 225 mg, hard capsules;225 mg;PREGABALINE;Capsule, hard;Uitsluitend recept
SOMATROGON - 60 mg/1,2 ml - Oplossing voor injectie;NGENLA 60 mg/1,2 ml, oplossing voor injectie;60 mg/1,2 ml;SOMATROGON;Oplossing voor injectie;Uitsluitend recept
BETAHISTINE - 16 mg - Tablet;Betahistine Sandoz 16 mg, tabletten;16 mg;BETAHISTINE;Tablet;Uitsluitend recept
ADAGRASIB - 200 mg - Filmomhulde tablet;Krazati 200 mg, filmomhulde tablet;200 mg;ADAGRASIB;Filmomhulde tablet;Uitsluitend recept
FILGRASTIM - 0,5ml - Oplossing voor injectie of infusie;Accofil 48MU/0,5ml solution for injection or infusion;0,5ml;FILGRASTIM;Oplossing voor injectie of infusie;Uitsluitend recept
SELPERCATINIB - 40 mg - Capsule;Retsevmo 40 mg harde capsules;40 mg;SELPERCATINIB;Capsule, hard;Uitsluitend recept
LEVETIRACETAM - 1000 mg - Filmomhulde tablet;DRETACEN 1000 mg, filmomhulde tabletten;1000 mg;LEVETIRACETAM;Filmomhulde tablet;Uitsluitend recept
HECLA LAVA -  - Druppels voor oraal gebruik;Hecla lava;;HECLA LAVA;Druppels voor oraal gebruik, oplossing;Uitsluitend apotheek of drogist
TREPROSTINIL - 2,5 mg/ml - Oplossing voor infusie;Trepulmix 2,5 mg/ml, oplossing voor infusie;2,5 mg/ml;TREPROSTINIL;Oplossing voor infusie;Uitsluitend recept
LEDIPASVIR ACETONSOLVAAT/SOFOSBUVIR - 45 mg/200 mg - Filmomhulde tablet;Harvoni 45 mg/200 mg, granulaat;45 mg/200 mg;LEDIPASVIR ACETONSOLVAAT/SOFOSBUVIR;Filmomhulde tablet;Uitsluitend recept
DABIGATRAN - 150 mg - Capsule;Pradaxa 150 mg harde capsules;150 mg;DABIGATRAN;Capsule, hard;Uitsluitend recept
AMLODIPINE/TELMISARTAN - 40 mg/10 mg - Tablet;Twynsta 40 mg/10 mg, tabletten;40 mg/10 mg;AMLODIPINE/TELMISARTAN;Tablet;Uitsluitend recept
HYDROCORTISON - 0,5 mg - Granulaat;Alkindi 0,5 mg granulaat in capsules om te openen;0,5 mg;HYDROCORTISON;Granulaat;Uitsluitend recept
OXYBUTYNINE - 100 mg/g - Gel;Kentera Gel 100 mg/g, transdermale gel;100 mg/g;OXYBUTYNINE;Gel;Uitsluitend recept
RIVAROXABAN - 2,5 mg - Filmomhulde tablet;Xiltess 2,5 mg filmomhulde tabletten;2,5 mg;RIVAROXABAN;Filmomhulde tablet;Uitsluitend recept
RIVAROXABAN - 2,5 mg - Filmomhulde tablet;Xaboplax 2,5 mg, filmomhulde tabletten;2,5 mg;RIVAROXABAN;Filmomhulde tablet;Uitsluitend recept
OLANZAPINE - 7.5 mg - Filmomhulde tablet;Zyprexa 7.5 mg, omhulde tabletten;7.5 mg;OLANZAPINE;Filmomhulde tablet;Uitsluitend recept
RUFINAMIDE - 400 mg - Filmomhulde tablet;Inovelon 400 mg, filmomhulde tabletten;400 mg;RUFINAMIDE;Filmomhulde tablet;Uitsluitend recept
BELLADONNA/BELLADONNA/BELLADONNA/BELLADONNA -  - ;Belladonna;;BELLADONNA/BELLADONNA/BELLADONNA/BELLADONNA;;Uitsluitend apotheek of drogist
IRBESARTAN - 150 mg - Filmomhulde tablet;Karvea 150 mg, filmomhulde tabletten;150 mg;IRBESARTAN;Filmomhulde tablet;Uitsluitend recept
IRBESARTAN - 75 mg - Filmomhulde tablet;Irbesartan STADA 75 mg, filmomhulde tabletten;75 mg;IRBESARTAN;Filmomhulde tablet;Uitsluitend recept
SITAGLIPTINE - 50 mg - Filmomhulde tablet;Sitagliptine Sandoz 50 mg, filmomhulde tabletten;50 mg;SITAGLIPTINE;Filmomhulde tablet;Uitsluitend recept
LEVEND VERZWAKT CHIMERISCH (DENV-2 PDK-53 STAM) DENGUEVIRUS, SEROYTPE 1, GEPRODUCEERD IN VERO CELLEN/LEVEND VERZWAKT CHIMERISCH (DENV-2 PDK-53 STAM) DENGUEVIRUS, SEROYTPE 3, GEPRODUCEERD IN VERO CELLEN/LEVEND VERZWAKT CHIMERISCH (DENV-2 PDK-53 STAM) DENGUEVIRUS, SEROYTPE 4, GEPRODUCEERD IN VERO CELLEN/LEVEND VERZWAKT DENGUEVIRUS, SEROYTPE 2, Stam PDK-53, GEPRODUCEERD IN VERO CELLEN -  - Poeder en oplosmiddel voor oplossing voor injectie;Qdenga poeder en oplosmiddel voor oplossing voor injectie in een voorgevulde spuit;;LEVEND VERZWAKT CHIMERISCH (DENV-2 PDK-53 STAM) DENGUEVIRUS, SEROYTPE 1, GEPRODUCEERD IN VERO CELLEN/LEVEND VERZWAKT CHIMERISCH (DENV-2 PDK-53 STAM) DENGUEVIRUS, SEROYTPE 3, GEPRODUCEERD IN VERO CELLEN/LEVEND VERZWAKT CHIMERISCH (DENV-2 PDK-53 STAM) DENGUEVIRUS, SEROYTPE 4, GEPRODUCEERD IN VERO CELLEN/LEVEND VERZWAKT DENGUEVIRUS, SEROYTPE 2, Stam PDK-53, GEPRODUCEERD IN VERO CELLEN;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
SULPHURICUM/ SULPHURICUM/ SULPHURICUM/ SULPHURICUM -  - ;Natrium sulphuricum;;SULPHURICUM/ SULPHURICUM/ SULPHURICUM/ SULPHURICUM;;Uitsluitend apotheek of drogist
BEZLOTOXUMAB - 25 mg/ml - Concentraat voor oplossing voor infusie;ZINPLAVA 25 mg/ml, concentraat voor oplossing voor infusie;25 mg/ml;BEZLOTOXUMAB;Concentraat voor oplossing voor infusie;Uitsluitend recept
MERCURIUS IODATUS RUBER -  - Druppels voor oraal gebruik;Mercurius iodatus ruber;;MERCURIUS IODATUS RUBER;Druppels voor oraal gebruik, oplossing;Uitsluitend apotheek of drogist
PERAMPANEL - 4 mg - Filmomhulde tablet;Fycompa 4 mg filmomhulde tabletten;4 mg;PERAMPANEL;Filmomhulde tablet;Uitsluitend recept
AMLODIPINE/VALSARTAN - 10 mg/160 mg - Filmomhulde tablet;Copalia 10 mg/160 mg, filmomhulde tabletten;10 mg/160 mg;AMLODIPINE/VALSARTAN;Filmomhulde tablet;Uitsluitend recept
DESLORATADINE - 5 mg - Orodispergeerbare tablet;Azomyr 5 mg, orodispergeerbare tablet;5 mg;DESLORATADINE;Orodispergeerbare tablet;Uitsluitend recept
RIVASTIGMINE - 6 mg - Capsule;Rivastigmine DEMO 6 mg, capsules, hard;6 mg;RIVASTIGMINE;Capsule, hard;Uitsluitend recept
AMLODIPINE/HYDROCHLOORTHIAZIDE/VALSARTAN - 10 mg/160 mg/12,5 mg - Filmomhulde tablet;Amlodipine/Valsartan/HCT Sandoz 10 mg/160 mg/12,5 mg, filmomhulde tabletten;10 mg/160 mg/12,5 mg;AMLODIPINE/HYDROCHLOORTHIAZIDE/VALSARTAN;Filmomhulde tablet;Uitsluitend recept
ESLICARBAZEPINE - 400 mg - Tablet;Zebinix 400 mg, tabletten;400 mg;ESLICARBAZEPINE;Tablet;Uitsluitend recept
INSULINE LISPRO/INSULINE LISPRO PROTAMINE COMPLEX -  - Suspensie voor injectie;Humalog Mix50 100 E/ml, suspensie voor injectie in patronen;;INSULINE LISPRO/INSULINE LISPRO PROTAMINE COMPLEX;Suspensie voor injectie;Uitsluitend recept
FORMICICUM ACIDUM -  - ;Formicicum acidum;;FORMICICUM ACIDUM;;Uitsluitend apotheek of drogist
VIBURNUM OPULUS -  - ;Viburnum opulus;;VIBURNUM OPULUS;;Uitsluitend apotheek of drogist
CANAGLIFLOZINE /METFORMINE - 150 mg/1.000 mg - Filmomhulde tablet;Vokanamet 150 mg/1.000 mg filmomhulde tabletten;150 mg/1.000 mg;CANAGLIFLOZINE /METFORMINE;Filmomhulde tablet;Uitsluitend recept
DEFERASIROX - 180 mg - Filmomhulde tablet;Exferana 180 mg, filmomhulde tabletten;180 mg;DEFERASIROX;Filmomhulde tablet;Uitsluitend recept
APIXABAN - 5 mg - Filmomhulde tablet;Apixaban Teva 5 mg, filmomhulde tabletten;5 mg;APIXABAN;Filmomhulde tablet;Uitsluitend recept
ATORVASTATINE  /EZETIMIB - 10 mg/80 mg - Filmomhulde tablet;Ezetimibe/Atorvastatine Tecnigen 10 mg/80 mg filmomhulde tabletten;10 mg/80 mg;ATORVASTATINE  /EZETIMIB;Filmomhulde tablet;Uitsluitend recept
ORITAVANCINE - 400 mg - Poeder voor concentraat voor oplossing voor infusie;Tenkasi 400 mg poeder voor concentraat voor oplossing voor infusie;400 mg;ORITAVANCINE;Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
AMBRA GRISEA -  - Globuli;Ambra grisea;;AMBRA GRISEA;Globuli;Uitsluitend apotheek of drogist
